string_id,vi,en
pray,"B-bạn vừa lạy Nijika. Mình cũng bái phục cổ. C-cố gắng lên top nha! ヽ(；▽；)ノ","Y-you just prayed to Nijika. I worship her too. L-let's aim for the top! ヽ(；▽；)ノ"
pray_special,"W-waaa! Nijika-chan phù hộ ban phước kìa!! Bạn may quá đó! Cộng thêm {0} lạy trên đường làm fan bự nha! (✧ω✧)","W-waaa! Nijika-chan blessed you!! You're so lucky! Added {0} prays to your journey! (✧ω✧)"
pray_choke,"E-ehh?! H-hôm qua bạn hông lạy, nay bị phạt xóa luôn công trạng hôm nay rồi... m-mình cũng hay quên lắm... (´;ω;`)","E-ehh?! Y-you forgot yesterday, so today's doesn't count... I-I forget things too sometimes... (´;ω;`)"
already_prayed,"A-ah, nay lạy rồi nha... về cày guitar sáng chiều rồi từ từ mai lạy tiếp (>_<)","A-ah, you already prayed today... go back to practicing guitar and come back tomorrow (>_<)"
leaderboard,B-bảng Phong Thần fan cứng á? (Top 10),L-leaderboard (Top 10)
leaderboard_empty,"M-mah, hông có ai lạy luôn á? Đìu hiu thiệc...",E-empty?! Nobody prayed today?
userinfo_embed_title,T-thông tin fan cứng!,F-follower info!
userinfo_username,T-tên người bám gót nha...,U-username...
userinfo_point,H-holy Nijikon Point...,N-holy Nijikon Point...
userinfo_rank,T-top hạng mấy ta...,R-rank...
userinfo_pray,S-số lượt bái lạy...,P-pray count...
userinfo_special_pray,L-lượt nổ phước lành...,S-special bless count...
userinfo_miss,S-số lượt lỡ...,M-miss count...
userinfo_blank,H-hả? Hông xài bao giờ thật hả?! M-mau dùng để Nijika-chan vui đi!,N-never used?! P-pray to make Nijika-chan happy!
userinfo_current_rate,T-tỷ lệ nổ bữa sau nha...,N-next bless drop rate...
bible,"Ai là Nijika? Với tụi mù quáng, cổ sáng chói. Có cổ, hổng sợ đói rét. Lúc bế tắc, cổ là âm nhạc dịu êm. Cổ cười - tui khóc vì vui. Hàng ngàn hội viên - tui xin đu một vé. Coi chừng cổ hổng còn fan... tui cũng nghỉ sống luôn. Lỡ thế giới tẩy chay cổ, tui xin liều một chọi trăm! (≧◡≦)","Who is Nijika? For the blind, she's light. With her, no hunger. In dark times, she's sweet music. She smiles - I cry tears of joy. Out of thousands of fans - I buy one ticket. If she has no fans left... I stop existing. If the world turns on her, I fight 1 v 100! (≧◡≦)"
command_desc,Q-quỳ lạy Nijika-chan... lóa mắt quá! ✧(\>o<)ﾉ✧,P-pray to Nijika-chan... so blinding! ✧(\>o<)ﾉ✧
command_usage,L-lệnh này để bái Nijika á. C-còn nhiều lệnh con để chơi nữa... \_(┐「ε:)_,U-use this to pray. T-there are sub-commands too... \_(┐「ε:)_
lb_cmd_desc,B-bảng xếp hạng Nijikon nà,N-nijikon leaderboard
lb_cmd_usage,"C-coi bảng top 10... tui khuyên hổng nên bon chen áp lực lắm...","S-show the top 10 list... I don't r-recommend getting too pressured over it..."
info_cmd_desc,H-hồ sơ fan cứng...,F-follower info...
info_cmd_usage,"X-xem mình nổ được bao nhiêu lần rồi đồ á...","V-view how many times you got blessed..."
info_param_user_desc,N-người muốn xem (đừng soi m-mình)...,U-user you want to check (don't spy on me)...
bible_cmd_desc,K-kinh thánh (mình tự viết á)...,N-nijika Bible (I wrote it)...
bible_cmd_usage,C-coi bài kinh thánh (mắc cỡ quá!)...,R-read the bible (so embarrassing!)...
channel_not_allowed,Kênh này không phải nhà thờ!,**nijipray** is not available in this channel!
history_cmd_desc,Xem lịch sử lạy 30 ngày,View 30-day pray history
history_cmd_usage,Xem bản đồ lịch sử lạy 30 ngày gần nhất,View the last 30 days pray history
history_embed_title,📅 Lịch sử lạy 30 ngày,📅 30-day pray history
history_empty,Con chiên này chưa lạy lần nào,No pray history found
